name,phone,address,url
کافه تولد شطرنج,+98 913 447 9907,"Isfahan، کوچه کازرونی جنب پاساژ هجرت پاساژ صفویه طبقه ی پایین, Chahar Bagh e Abbasi St, No. جنب، کافه تولد شطرنج, Iran",https://www.google.com/maps/place/%DA%A9%D8%A7%D9%81%D9%87+%D8%AA%D9%88%D9%84%D8%AF+%D8%B4%D8%B7%D8%B1%D9%86%D8%AC%E2%80%AD/data=!4m7!3m6!1s0x3fbc35a49cda3c3d:0xc8df5b5b24445a4c!8m2!3d32.6555644!4d51.6687133!16s%2Fg%2F11t2d02bw4!19sChIJPTzanKQ1vD8RTFpEJFtb38g?authuser=0&hl=en&rclk=1
کافه کاراکو,+98 31 3131 6647,"Isfahan Province, Isfahan، استان اصفهان، اصفهان، سیچان،, Chahar Bagh E Bala Ave, JMQ8+XMC کافه کاراکو, Iran",https://www.google.com/maps/place/%DA%A9%D8%A7%D9%81%D9%87+%DA%A9%D8%A7%D8%B1%D8%A7%DA%A9%D9%88%E2%80%AD/data=!4m7!3m6!1s0x3fbc375d3ae11de1:0x14479bdbbe63aa36!8m2!3d32.6399336!4d51.6666536!16s%2Fg%2F11fm3m1ctk!19sChIJ4R3hOl03vD8RNqpjvtubRxQ?authuser=0&hl=en&rclk=1
Cafe Va,+98 937 787 0566,"Isfahan Province, Isfahan, Chahar Bagh e Abbasi St, MM39+38P Cafe Va, Iran",https://www.google.com/maps/place/Cafe+Va/data=!4m7!3m6!1s0x3fbc35315836278f:0x7a9ebdb1c1d16878!8m2!3d32.6527044!4d51.6683223!16s%2Fg%2F11fwh77zwt!19sChIJjyc2WDE1vD8ReGjRwbG9nno?authuser=0&hl=en&rclk=1
Radio Cafe,+98 31 3224 5089,"Isfahan Province, Isfahan، Sepahan Alley, Chahar Bagh e Abbasi St, MM49+343 Radio Cafe, Iran",https://www.google.com/maps/place/Radio+Cafe/data=!4m7!3m6!1s0x3fbc35e46847f919:0x760d61d40c9d6b77!8m2!3d32.6551284!4d51.6677828!16s%2Fg%2F1tr7b8ww!19sChIJGflHaOQ1vD8Rd2udDNRhDXY?authuser=0&hl=en&rclk=1
کافه چهارباغ قهوه خانه,+98 31 3220 1558,"MM49+F29, Isfahan, Isfahan Province, Iran",https://www.google.com/maps/place/%DA%A9%D8%A7%D9%81%D9%87+%DA%86%D9%87%D8%A7%D8%B1%D8%A8%D8%A7%D8%BA+%D9%82%D9%87%D9%88%D9%87+%D8%AE%D8%A7%D9%86%D9%87%E2%80%AD/data=!4m7!3m6!1s0x3fbc35e8d4adaafd:0x154e0b188644bde9!8m2!3d32.6561518!4d51.6675949!16s%2Fg%2F11ggnbrylr!19sChIJ_aqt1Og1vD8R6b1EhhgLThU?authuser=0&hl=en&rclk=1
Pasio Cafe,+98 31 3220 4425,"Isfahan Province, Isfahan، اصفهان، خیابان چهارباغ عباسی،, Kazeruni Alley, MM49+977 Pasio Cafe, Iran",https://www.google.com/maps/place/Pasio+Cafe/data=!4m7!3m6!1s0x3fbc35ce458239af:0x87fd797f5e813dc2!8m2!3d32.6559046!4d51.6681744!16s%2Fg%2F11f62v7dp9!19sChIJrzmCRc41vD8Rwj2BXn95_Yc?authuser=0&hl=en&rclk=1
Shahrzaad cafe,+98 913 686 4627,"استان اصفهان، اصفهان،, Chahar Bagh e Abbasi St, Shahrzaad cafe, Iran",https://www.google.com/maps/place/Shahrzaad+cafe/data=!4m7!3m6!1s0x3fbc353e9e103b9d:0xab39437c5cd5c840!8m2!3d32.6559983!4d51.6687665!16s%2Fg%2F11rc7qrpdn!19sChIJnTsQnj41vD8RQMjVXHxDOas?authuser=0&hl=en&rclk=1
Gooya cafe,+98 31 3222 6585,"Isfahan Province, Isfahan, Chahar Bagh e Abbasi St, MM29+39G Gooya cafe, Iran",https://www.google.com/maps/place/Gooya+cafe/data=!4m7!3m6!1s0x3fbc35e4104adb1b:0x6d55ff7c38474de4!8m2!3d32.6501792!4d51.6684573!16s%2Fg%2F11f_c044qr!19sChIJG9tKEOQ1vD8R5E1HOHz_VW0?authuser=0&hl=en&rclk=1
Safar Cafe,+98 913 827 2936,"MM39+CHV, Isfahan, Isfahan Province, Iran",https://www.google.com/maps/place/Safar+Cafe/data=!4m7!3m6!1s0x3fbc352f7e25e9ad:0xd176b7943a3473cf!8m2!3d32.6536191!4d51.6689074!16s%2Fg%2F11j8gjbrp1!19sChIJreklfi81vD8Rz3M0OpS3dtE?authuser=0&hl=en&rclk=1
Cafe Royal,+98 938 133 3423,"Tehran, Isfahan، دروازه دولت, چهارباغ بعداز بانک صادرات طبقه گز سلطانی، Abbasi، MM49+GF5 Cafe Royal, Iran",https://www.google.com/maps/place/Cafe+Royal/data=!4m7!3m6!1s0x3fbc35ef3d4c0f51:0x71e8e8580ed985a!8m2!3d32.6562557!4d51.6687318!16s%2Fg%2F11cmstkw7s!19sChIJUQ9MPe81vD8RWpjtgIWOHgc?authuser=0&hl=en&rclk=1
